model,variant,seed,hf_model_id,AUC,AUPRC,ACC,SN,SP,F1,MCC,Threshold,metrics_path,predictions_path,config_path,adapter_type
esm2,lm_only,55,facebook/esm2_t36_3B_UR50D,0.9251479289940828,0.5439892259898161,0.916083916083916,0.2692307692307692,0.9807692307692308,0.3684210526315789,0.3584655728378608,0.65,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_only/seed_55/config.json,dora
esm2,lm_pssm,11,facebook/esm2_t36_3B_UR50D,0.9147189349112426,0.6242834772935126,0.9230769230769232,0.7692307692307693,0.9384615384615383,0.6451612903225806,0.6133333333333333,0.2,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_11/config.json,dora
esm2,lm_pssm,22,facebook/esm2_t36_3B_UR50D,0.9292899408284024,0.5678352340535382,0.9125874125874126,0.7307692307692307,0.9307692307692308,0.6031746031746031,0.5666669859085686,0.5499999999999999,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_22/config.json,dora
esm2,lm_pssm,33,facebook/esm2_t36_3B_UR50D,0.9376479289940828,0.7095343054746442,0.9335664335664337,0.6153846153846154,0.9653846153846154,0.6274509803921569,0.5911350209781349,0.9,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_33/config.json,dora
esm2,lm_pssm,44,facebook/esm2_t36_3B_UR50D,0.9430473372781066,0.7711113006823895,0.9125874125874126,0.7692307692307693,0.926923076923077,0.6153846153846154,0.5831735184676684,0.9,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_44/config.json,dora
esm2,lm_pssm,55,facebook/esm2_t36_3B_UR50D,0.9113165680473372,0.6844714392551077,0.8776223776223776,0.6923076923076923,0.8961538461538462,0.5070422535211268,0.4645972690477625,0.85,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/esm2/lm_pssm/seed_55/config.json,dora
protbert,lm_only,11,Rostlab/prot_bert_bfd,0.9021449704142012,0.4989496129999872,0.8566433566433567,0.7307692307692307,0.8692307692307693,0.4810126582278481,0.4439240797137278,0.75,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_11/config.json,dora
protbert,lm_only,22,Rostlab/prot_bert_bfd,0.89948224852071,0.5070283765248293,0.8251748251748252,0.7692307692307693,0.8307692307692308,0.4444444444444444,0.4138644509785587,0.75,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_22/config.json,dora
protbert,lm_only,33,Rostlab/prot_bert_bfd,0.8959319526627219,0.4978580041023122,0.7972027972027972,0.7307692307692307,0.8038461538461539,0.3958333333333333,0.3574694274121796,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_33/config.json,dora
protbert,lm_only,44,Rostlab/prot_bert_bfd,0.9027366863905324,0.5505155304087945,0.8006993006993007,0.8461538461538461,0.7961538461538461,0.4356435643564356,0.4198021048863173,0.7,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_44/config.json,dora
protbert,lm_only,55,Rostlab/prot_bert_bfd,0.9048076923076924,0.5364827715172649,0.8776223776223776,0.5384615384615384,0.9115384615384616,0.4444444444444444,0.3854653334378053,0.85,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_only/seed_55/config.json,dora
protbert,lm_pssm,11,Rostlab/prot_bert_bfd,0.9302514792899408,0.6340614906544982,0.8601398601398601,0.8076923076923077,0.8653846153846154,0.5121951219512195,0.4876184360034337,0.4999999999999999,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_11/config.json,dora
protbert,lm_pssm,22,Rostlab/prot_bert_bfd,0.9241863905325444,0.6655603274074938,0.8741258741258742,0.6538461538461539,0.8961538461538462,0.4857142857142857,0.4382299106011073,0.7,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_22/config.json,dora
