adapter_type,model,variant,seed,AUC,AUPRC,ACC,F1,MCC,Threshold,metrics_path,predictions_path,config_path
dora,esm2,lm_only,55,0.9431952662721892,0.6897751564175981,0.9405594405594404,0.7017543859649122,0.6722191293579518,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_only/seed_55/config.json
dora,esm2,lm_pssm,11,0.9588757396449704,0.6979249168349844,0.93006993006993,0.5,0.4919520370144726,0.65,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_11/config.json
dora,esm2,lm_pssm,22,0.9360946745562132,0.6834234832999376,0.9230769230769232,0.5925925925925926,0.5506464538749029,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_22/config.json
dora,esm2,lm_pssm,33,0.9511834319526628,0.6767572665845573,0.9230769230769232,0.6451612903225806,0.6133333333333333,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_33/config.json
dora,esm2,lm_pssm,44,0.964792899408284,0.7776360506318091,0.93006993006993,0.6774193548387096,0.65,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_44/config.json
dora,esm2,lm_pssm,55,0.939792899408284,0.6720538349494188,0.916083916083916,0.5862068965517241,0.5436756103517414,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/esm2/lm_pssm/seed_55/config.json
dora,protbert,lm_only,11,0.8766272189349112,0.4911855836939665,0.8391608391608392,0.4102564102564102,0.3554774733461204,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_11/config.json
dora,protbert,lm_only,22,0.8855029585798817,0.443821915882664,0.7972027972027972,0.42,0.3963837683229513,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_22/config.json
dora,protbert,lm_only,33,0.888905325443787,0.516121702554078,0.8391608391608392,0.4523809523809524,0.415236505032876,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_33/config.json
dora,protbert,lm_only,44,0.9079881656804734,0.5667261857205315,0.8181818181818182,0.4347826086956521,0.404145188432738,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_44/config.json
dora,protbert,lm_only,55,0.8928994082840237,0.5150897756413044,0.8776223776223776,0.4615384615384615,0.4059660957288741,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_only/seed_55/config.json
dora,protbert,lm_pssm,11,0.931360946745562,0.6008835216865842,0.916083916083916,0.5714285714285714,0.5268321206355335,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_11/config.json
dora,protbert,lm_pssm,22,0.9362426035502958,0.5997857363321294,0.916083916083916,0.5384615384615384,0.4923076923076923,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_22/config.json
dora,protbert,lm_pssm,33,0.9224852071005918,0.5950870325710101,0.8741258741258742,0.5263157894736842,0.4948891332786446,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_33/config.json
dora,protbert,lm_pssm,44,0.9371301775147928,0.6501891083629193,0.902097902097902,0.5757575757575758,0.5387523225385208,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_44/config.json
dora,protbert,lm_pssm,55,0.9242603550295858,0.5695126520617364,0.9195804195804196,0.5490196078431373,0.505009388782645,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/protbert/lm_pssm/seed_55/config.json
dora,prott5,lm_only,11,0.9072485207100592,0.5016694784957201,0.8776223776223776,0.4776119402985074,0.4259501720029795,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_11/config.json
dora,prott5,lm_only,22,0.9149408284023668,0.5348749789524073,0.9055944055944056,0.5423728813559322,0.4949015419574726,0.5499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_22/config.json
dora,prott5,lm_only,33,0.8989644970414201,0.6530925859051389,0.9090909090909092,0.5666666666666667,0.5226990393278772,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_33/config.json
