adapter_type,model,seed,adapter_variant,feature_variant,AUC,AUPRC,ACC,F1,MCC,Threshold,metrics_path,predictions_path,config_path
dora,esm2,22,lm_only,lm_pssm,0.931360946745562,0.6115673365846147,0.8986013986013986,0.5538461538461539,0.5122905493721507,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_22/config.json
dora,esm2,33,lm_only,lm_pssm,0.9508875739644972,0.670636241136204,0.9230769230769232,0.5769230769230769,0.5346153846153846,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_33/config.json
dora,esm2,44,lm_only,lm_pssm,0.9637573964497042,0.6968193503963253,0.9195804195804196,0.6567164179104478,0.6341924783155473,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_44/config.json
dora,esm2,55,lm_only,lm_pssm,0.9357988165680472,0.6294699739525841,0.9265734265734266,0.5714285714285714,0.5326347576796358,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_only__feature_lm_pssm/seed_55/config.json
dora,esm2,11,lm_pssm,lm_only,0.9205621301775148,0.6958343282719543,0.9405594405594404,0.6222222222222222,0.599378744009127,0.7,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_11/config.json
dora,esm2,22,lm_pssm,lm_only,0.8683431952662722,0.6022219688289584,0.8951048951048951,0.5714285714285714,0.5393598899705936,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_22/config.json
dora,esm2,33,lm_pssm,lm_only,0.9281065088757396,0.6899501440370084,0.9195804195804196,0.6461538461538462,0.6186150030154273,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_33/config.json
dora,esm2,44,lm_pssm,lm_only,0.9207100591715977,0.7270583880677177,0.8741258741258742,0.5609756097560976,0.5489190393867225,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_44/config.json
dora,esm2,55,lm_pssm,lm_only,0.8866863905325443,0.7001742263510077,0.9125874125874126,0.6153846153846154,0.5831735184676684,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/esm2/adapter_lm_pssm__feature_lm_only/seed_55/config.json
dora,protbert,11,lm_only,lm_pssm,0.9328402366863904,0.6007330475856738,0.9055944055944056,0.5263157894736842,0.4765998059998177,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_11/config.json
