adapter_type,model,n_seeds,delta_AUC_mean,delta_AUC_std,delta_AUPRC_mean,delta_AUPRC_std,delta_ACC_mean,delta_ACC_std,delta_SN_mean,delta_SN_std,delta_SP_mean,delta_SP_std,delta_F1_mean,delta_F1_std,delta_MCC_mean,delta_MCC_std
dora,ankh,5,0.12008875739644971,0.022335103150510707,0.2750464760916861,0.062479167051433984,0.09160839160839156,0.10168515093311066,0.04615384615384617,0.31846525453053004,0.09615384615384623,0.1429196819999211,0.15540720176772715,0.041431336493045326,0.17018091798904278,0.04920603606646196
dora,esm2,5,0.00013313609467462405,0.012373037868855435,0.1045660755620265,0.0647497229348619,0.004195804195804254,0.024264827374681806,0.20000000000000004,0.218114567365505,-0.015384615384615375,0.04660040378726448,0.12199325406741682,0.07531682895142099,0.10719899305015927,0.05419058645788887
dora,protbert,5,0.023831360946745605,0.003282690704477898,0.12269711497761619,0.022681519849092575,0.04265734265734267,0.026573426573426602,-0.053846153846153835,0.07919715493066924,0.0523076923076923,0.036374124361651924,0.0519212318535058,0.022004848832562002,0.045759376213066194,0.025355984699273165
dora,prott5,5,0.0051923076923076515,0.011258980597509525,0.04255943113878132,0.07149095280435148,-0.004895104895104918,0.022290038392320653,-0.02307692307692306,0.07133552688842851,-0.003076923076922977,0.030029571224527898,-0.025726859450420237,0.042942525597007564,-0.03674837140814478,0.05032747093353662
lora,ankh,5,0.1375591715976331,0.018054756453471404,0.30355676311683977,0.06311391175260088,0.1706293706293707,0.08171351861627042,-0.09230769230769234,0.28430336327040506,0.19692307692307687,0.11198584018690425,0.196748369451447,0.08311432568331804,0.2109922001282051,0.09249765577564618
lora,esm2,5,-0.0053846153846154095,0.028928247620298175,0.0720843342630381,0.0314978388563616,-0.008391608391608352,0.02749594860326926,0.2615384615384616,0.19060787220559794,-0.035384615384615306,0.046752527381608525,0.11136051750424154,0.08840162486867595,0.10043599019141865,0.07312465413952057
lora,protbert,5,0.025014792899408354,0.009451539876454184,0.10053398869812336,0.02043880160144019,0.04615384615384621,0.044415229393567554,-0.03076923076923075,0.14472990555559065,0.05384615384615388,0.06220789728970993,0.06162989734654685,0.0339722293878785,0.05686195741355772,0.033195170529746874
lora,prott5,5,8.875739644977897e-05,0.020288524905685983,0.07274741800607538,0.09284774905705438,0.004895104895104941,0.033141246464539205,-0.03846153846153846,0.08067760370539627,0.009230769230769265,0.044362679554757554,-0.008806508191100015,0.057447572815786295,-0.018632614043866846,0.06422359230013293
