external_feature,method,model,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,MCC_mean,MCC_std
lm_only,DoRA-tuned on lm_only,ankh,0.7754437869822486,0.03027651558716055,0.2801314310924754,0.035565354151865125,0.2730219810165853,0.045494335494493804,0.21663721241986605,0.052605593370410555
lm_only,DoRA-tuned on lm_only,esm2,0.9352662721893491,0.012819820569992238,0.673546554283535,0.06896162926712708,0.6574660450992253,0.07489798160535181,0.6266921588889303,0.07822253873334951
lm_only,DoRA-tuned on lm_only,protbert,0.8903846153846153,0.011527076768507744,0.506589032698509,0.04459985648339683,0.43579168657429523,0.02145079311305311,0.39544180617271196,0.023325816316678634
lm_only,DoRA-tuned on lm_only,prott5,0.9030769230769231,0.010211601786009274,0.5745519249121978,0.06823874611597099,0.5336939340278576,0.0440424217678561,0.4915486436470595,0.04397532048514487
lm_only,DoRA-tuned on lm_pssm,ankh,0.7925739644970414,0.022982234428602793,0.31582639197134643,0.04933908728742337,0.33450054967455267,0.06703521888558828,0.28469027489086624,0.052717872626807175
lm_only,DoRA-tuned on lm_pssm,esm2,0.9048816568047338,0.025990076022952734,0.6830478111113293,0.047366124457693,0.6032329729890706,0.03587359773775,0.5778892389699077,0.03343685650570698
lm_only,DoRA-tuned on lm_pssm,protbert,0.8934911242603552,0.007197775518167411,0.5144751781717847,0.06971329965013329,0.46265223288553087,0.02014821059062134,0.4224417707025154,0.015617745189808203
lm_only,DoRA-tuned on lm_pssm,prott5,0.8875443786982249,0.02866473065242248,0.5313100452532628,0.0807559868755875,0.5439271830166006,0.02360226728431515,0.49924742943526973,0.026223196314112393
lm_only,LoRA-tuned on lm_only,ankh,0.7826415891800508,0.04930181336680546,0.28575817170698525,0.08111822274526048,0.2987523533190104,0.06425491322339523,0.24783327203012723,0.08212485049266995
lm_only,LoRA-tuned on lm_only,esm2,0.9299408284023668,0.01003608558652596,0.681599882695908,0.0512362100148446,0.6520029015827947,0.03592413530407574,0.6220791573197453,0.035116891477782616
lm_only,LoRA-tuned on lm_only,protbert,0.8924852071005918,0.01695139766235186,0.5172804671881577,0.051211458219920986,0.454347899945558,0.009625237283764356,0.41440944555747433,0.014705632905156906
lm_only,LoRA-tuned on lm_only,prott5,0.9019230769230768,0.013485494647084493,0.5881697109154176,0.07260122415656277,0.522712626391171,0.0518806467845018,0.48820739258684354,0.04913760367925513
lm_only,LoRA-tuned on lm_pssm,ankh,0.7865976331360948,0.019606759105623674,0.29224655512041864,0.06392814969899199,0.2944114803510834,0.06530223641422542,0.22728151207172242,0.07828516929983807
lm_only,LoRA-tuned on lm_pssm,esm2,0.909585798816568,0.011645779936503552,0.6669651952722776,0.03788840522417193,0.5811776615186155,0.060366713942845776,0.5462597436324846,0.05863899767825518
lm_only,LoRA-tuned on lm_pssm,protbert,0.8863609467455621,0.007100129422820701,0.49213172924345605,0.07411347049225986,0.44594667296263113,0.034303235004124875,0.40794932939889794,0.028684982356592052
lm_only,LoRA-tuned on lm_pssm,prott5,0.8849408284023669,0.023143064447533505,0.5410801076269973,0.057257114539430595,0.5517099069512863,0.021779426340889637,0.5097905501033091,0.024586114246632953
lm_only,Native (no adapter),ankh,0.7745857988165681,0.026248831839305084,0.27822327560124294,0.0346145591326603,0.29937262759707856,0.035725581848995776,0.24244812500565724,0.03606982247783625
lm_only,Native (no adapter),esm2,0.9387278106508875,0.004523822467111746,0.7227739420897654,0.020629993884765593,0.6704139755519065,0.09225610843268607,0.645228236888503,0.08787956241998277
lm_only,Native (no adapter),protbert,0.9075147928994083,0.007998705516571314,0.5917820374326362,0.05272933467096963,0.47208395235187284,0.04038919647674643,0.4396718860108247,0.034536061734004954
lm_only,Native (no adapter),prott5,0.9306508875739645,0.00604466904625191,0.7293732149230173,0.019756562734244386,0.5971462747778536,0.0627177926079104,0.564446868348546,0.07256730737408729
lm_pssm,DoRA-tuned on lm_only,ankh,0.928698224852071,0.006944001907712158,0.6120213185390584,0.04060543030182038,0.5482119363882954,0.04524757925882815,0.5065266119567088,0.05196360480773103
lm_pssm,DoRA-tuned on lm_only,esm2,0.9429585798816568,0.013969933627316506,0.642199172759708,0.04021244124286537,0.5815867655902774,0.0435877415738258,0.5437485117530727,0.05214730020372449
lm_pssm,DoRA-tuned on lm_only,protbert,0.9307396449704142,0.0066923770132278956,0.6071069877596388,0.030603883053324774,0.5489598533561382,0.040989950487940116,0.5068564448887881,0.04164274850525546
lm_pssm,DoRA-tuned on lm_only,prott5,0.9339349112426035,0.004704281565419072,0.6350645208239969,0.02385147209843706,0.5321756256275778,0.08845848012154706,0.5152098184272115,0.03138502457502291
lm_pssm,DoRA-tuned on lm_pssm,ankh,0.9279881656804733,0.00672662269049481,0.6121004831316191,0.04067329354556177,0.5431271906255836,0.052815530143105756,0.5002791805956658,0.061467337166566834
lm_pssm,DoRA-tuned on lm_pssm,esm2,0.9501479289940828,0.012211088215082174,0.7015591104601414,0.043633421548954436,0.6002760268611214,0.06759814546334889,0.56992148691489,0.062122388718591146
lm_pssm,DoRA-tuned on lm_pssm,protbert,0.9302958579881656,0.006720113159100573,0.6030916102028759,0.02926430625689477,0.5521966165929014,0.021175161462231175,0.5115581315086073,0.020396934281469596
lm_pssm,DoRA-tuned on lm_pssm,prott5,0.9330769230769231,0.0021528624452339744,0.6315753684262984,0.03477376049206545,0.5732166505221533,0.0198518524282319,0.5306906415743419,0.02201004320766508
lm_pssm,LoRA-tuned on lm_only,ankh,0.9279585798816568,0.006635402808285756,0.6120374870570829,0.040560040017689585,0.5431271906255836,0.052815530143105756,0.5002791805956658,0.061467337166566834
lm_pssm,LoRA-tuned on lm_only,esm2,0.9393491124260356,0.008967108608600187,0.6411475017489789,0.032483798859234046,0.5285329277400903,0.045316480824127904,0.4879314815943999,0.04458061351280908
lm_pssm,LoRA-tuned on lm_only,protbert,0.9320710059171597,0.007839120161650245,0.6078495510328255,0.032217725242096686,0.5216145181226359,0.05925991535449862,0.48835079896201317,0.0522338270207361
lm_pssm,LoRA-tuned on lm_only,prott5,0.9343786982248521,0.005000787725491147,0.638480989147521,0.02702002068462532,0.5573070687644875,0.04091330007356244,0.5137337154459111,0.04344798581143105
lm_pssm,LoRA-tuned on lm_pssm,ankh,0.928698224852071,0.006973875483031435,0.6120916710189949,0.04070924904823691,0.5482119363882954,0.04524757925882815,0.5065266119567088,0.05196360480773103
lm_pssm,LoRA-tuned on lm_pssm,esm2,0.949171597633136,0.0066982601353953505,0.6887247013513955,0.023713870956104704,0.6218494399981488,0.02838543372490502,0.5885039708720349,0.027962026802976023
lm_pssm,LoRA-tuned on lm_pssm,protbert,0.930207100591716,0.006568613707655823,0.6040324434850973,0.02918103150287006,0.5556154200117048,0.019734100355756772,0.517832285231688,0.017632623622944748
lm_pssm,LoRA-tuned on lm_pssm,prott5,0.9334319526627219,0.0024486605558058008,0.6290407259060695,0.027071654226929323,0.5629130108067489,0.022739919616483098,0.5200508168674782,0.024444887923219333
lm_pssm,Native (no adapter),ankh,0.9261538461538461,0.009138971363951313,0.6055135648040825,0.0224825527181031,0.4960734339995927,0.043775951468423877,0.4613614914997496,0.029572895588359578
lm_pssm,Native (no adapter),esm2,0.9313609467455622,0.005313102069842614,0.609259230788731,0.022049704869685556,0.5071958856953257,0.06409557298629073,0.46979536571709196,0.05386504541013769
lm_pssm,Native (no adapter),protbert,0.929112426035503,0.0086360637609392,0.6065545129258627,0.027898301990863492,0.49964253501550215,0.045791331336820784,0.46559955687589394,0.03198470196700245
lm_pssm,Native (no adapter),prott5,0.9284615384615386,0.009001573492381745,0.6107501400032243,0.025317098463188754,0.48953906940627867,0.0647344134972048,0.45551153612623735,0.04868043761118045
